單元名稱
上台報告簡報
1-AppInventor第一個程式
2-AppInventor華氏溫度轉攝氏溫度
3-AppInventor判斷奇偶數
4-AppInventor計算BMI
5-AppInventor加總
6-AppInventor求因數
7-AppInventor猜拳遊戲
8-AppInventor猜數字
9-AppInventor照相機程式
10-AppInventor照片塗鴉
11-AppInventor敵機來襲
1-Gimp桌面截圖與剪裁圖片
2-GimpQuick Mask選取
3-Gimp橢圓形選取與羽化
4-Gimp照片合成(使用clone) 與照片縮小
5-Gimp照片處理-傾斜歸正、水平鏡射
6-Gimp圖層合成照片
7-Gimp圖層與遮罩
8-Gimp照片處理-顏色調整1-色相與彩度、色彩自動調整
9-Gimp照片處理-顏色調整2-亮度與反差、色階與曲線
10-Gimp繪圖-筆刷
11-Gimp繪圖-漸層
12-Gimp濾鏡-無縫圖
1-Google協作平台-建立網站，與首頁更改
2-Google協作平台-建立頁面，與各種類型頁面，插入物件
3-Google協作平台-超連結，站內與站外
4-Google協作平台-套用主題與刪除頁面
5-Google協作平台-頁面範本
6-Google協作平台-版面配置，新增圖片與文字於版面中
7-Google協作平台-側欄導覽(瀏覽)與移動頁面
8-Google協作平台-側欄新增文字、圖片與超連結
9-Google行事曆-新增週期性工作
10-Google行事曆-新增日曆
11-Google雲端硬碟-新增問卷
12-Google雲端硬碟-寄送問卷與查看結果
