單元名稱
1-1資訊與生活的關係測驗
1-2電腦的發展歷程測驗
2-1連接埠的類型與特性測驗
2-2電腦之維護、清潔與廢棄處理測驗
2-3電腦五大單元介紹測驗
2-4硬碟工作方式與維護測驗
3-1二進位系統概念測驗
3-2文字編碼測驗
3-3圖像編碼測驗
3-4認識電腦軟體測驗
4-1電腦網路的基礎知識介紹〈一〉MAC、IP與PORT測驗
4-2電腦網路的基礎知識介紹〈二〉DNS測驗
